source,country,bias,factual_reporting,press_freedom,media_type,popularity,mbfc_credibility_rating
erienewsnow.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
wicz.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
citizensvoice.com,usa,least biased,high,mostly free,newspaper,medium traffic,high credibility
gazetteandherald.co.uk,united kingdom,least biased,high,,newspaper,medium traffic,high credibility
wilx.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
winchesternewsgazette.com,united states,least biased,high,,newspaper,minimal traffic,high credibility
winknews.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
newschief.com,usa,left-center,high,mostly free,newspaper,minimal traffic,high credibility
wistv.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
channel3000.com,usa,least biased,high,mostly free,tv station,high traffic,high credibility
wisn.com,usa,least biased,high,mostly free,tv station,high traffic,high credibility
fox6now.com,usa,least biased,high,mostly free,tv station,high traffic,high credibility
witn.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
wivb.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
wjbf.com,usa,least biased,high,,tv station,medium traffic,high credibility
wjhg.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
wjhl.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
upmatters.com,usa,least biased,high,,tv station,mimimal traffic,high credibility
wjtv.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
fox8.com,usa,least biased,high,mostly free,tv station,high traffic,high credibility
news4jax.com,usa,least biased,high,mostly free,tv station,high traffic,high credibility
wkbn.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
news8000.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
wkbw.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
clickorlando.com,usa,least biased,high,mostly free,tv station,high traffic,high credibility
wkow.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
wkrg.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
wkyc.com,usa,least biased,high,mostly free,tv station,high traffic,high credibility
wlns.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
wlbt.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
lex18.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
wlfi.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
hometownstations.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
wlky.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
wlox.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
wltx.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
uppermichiganssource.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
wlwt.com,usa,least biased,high,mostly free,tv station,high traffic,high credibility
wmar2news.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
mypanhandle.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
centralillinoisproud.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
fox47.com,usa,right-center,high,mostly free,tv station,medium traffic,high credibility
tv20detroit.com,usa,least biased,high,mostly free,tv station,minimal traffic,high credibility
cbs17.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
wnct.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
wndu.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
wnem.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
cenlanow.com,usa,least biased,high,,tv station,mimimal traffic,high credibility
wnyt.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
fox5ny.com,usa,least biased,high,mostly free,tv station,high traffic,high credibility
wogx.com,usa,least biased,high,mostly free,tv station,high traffic,high credibility
hometownstations.com,usa,least biased,high,mostly free,tv station,minimal traffic,high credibility
weareiowa.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
cleveland19.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
woodtv.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
worcesternews.co.uk,united kingdom,least biased,high,,newspaper,medium traffic,high credibility
spectrumnews1.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
workscoop.com,usa,least biased,high,,website,minimal traffic,high credibility
wowktv.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
wowt.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
wpbf.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
phl17.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
fox43.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
hometownstations.com,usa,least biased,high,,tv station,minimal traffic,high credibility
wptv.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
mynbc5.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
wqad.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
mystateline.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
wrex.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
wrtv.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
wsfltv.com,usa,least biased,high,mostly free,tv station,minimal traffic,high credibility
wsoctv.com,usa,least biased,high,mostly free,tv station,high traffic,high credibility
localsyr.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
fox61.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
tmj4.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
wtrf.com,usa,least biased,high,,tv station,medium traffic,high credibility
wtsp.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
wtvm.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
wtvr.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
fox13news.com,usa,least biased,high,mostly free,tv station,high traffic,high credibility
wtvy.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
wtxl.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
wikinews.org,usa,least biased,high,mostly free,website,medium traffic,high credibility
wikipedia.org,usa,least biased,mixed,,organization/foundation,high traffic,medium credibility
winnipegfreepress.com,canada,least biased,high,,newspaper,high traffic,high credibility
winonadailynews.com,usa,least biased,high,mostly free,newspaper,minimal traffic,high credibility
journalnow.com,usa,least biased,high,mostly free,newspaper,medium traffic,high credibility
wionews.com,india,least biased,mixed,,website,medium traffic,medium credibility
madison.com,usa,least biased,high,mostly free,newspaper,medium traffic,high credibility
fox2detroit.com,usa,least biased,high,mostly free,tv station,high traffic,high credibility
fox46.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
wkrn.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
wvlt.tv,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
raleighcw.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
13wmaz.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
actionnews5.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
wmtw.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
wmur.com,usa,least biased,high,mostly free,tv station,high traffic,high credibility
wnep.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
fox35orlando.com,usa,least biased,high,,tv station,high traffic,high credibility
wolfstreet.com,usa,least biased,high,,website,medium traffic,high credibility
dailydemocrat.com,usa,least biased,high,mostly free,newspaper,minimal traffic,high credibility
worldometers.info,usa,least biased,high,,website,high traffic,high credibility
worldpoliticsreview.com,usa,left-center,high,mostly free,website,medium traffic,high credibility
worldpopulationreview.com,usa,least biased,mixed,,website,high traffic,high credibility
pix11.com,usa,least biased,high,mostly free,tv station,high traffic,high credibility
wpri.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
wpta21.com,usa (44/180 press freedom),least biased,high,mostly free,tv station,medium traffic,high credibility
wpxi.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
wqow.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
wral.com,usa,left-center,high,,tv station,high traffic,high credibility
wrbl.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
wrdw.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
wreg.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
wric.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
clarionnewsonline.com,usa,least biased,high,,newspaper,minimal traffic,high credibility
rochesterfirst.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
wsav.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
wsaz.com,usa,least biased,high,,tv station,high traffic,high credibility
wsbtv.com,usa,least biased,high,mostly free,tv station,high traffic,high credibility
wsfa.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
wsiltv.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
wsls.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
wsmv.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
wspa.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
fox47news.com,usa,least biased,high,mostly free,tv station,minimal traffic,high credibility
wtae.com,usa,least biased,high,mostly free,tv station,high traffic,high credibility
wearecentralpa.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
wtap.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
news10.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
wthitv.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
wthr.com,usa,least biased,high,mostly free,tv station,high traffic,high credibility
wtnh.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
wtok.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
wtol.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
fox5dc.com,usa,least biased,high,mostly free,tv station,high traffic,high credibility
cbs4indy.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
wtva.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
newschannel5.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
13abc.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
fox29.com,usa,least biased,high,,tv station,medium traffic,high credibility
wusa9.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
cnyhomepage.com,usa,least biased,high,,tv station,minimal traffic,high credibility
13newsnow.com,usa,least biased,high,mostly free,website,medium traffic,high credibility
nbc29.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
wvnstv.com,usa,least biased,high,,tv station,medium traffic,high credibility
wvtm13.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
fox8live.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
wvva.com,usa,least biased,high,mostly free,tv station,high traffic,high credibility
nbc12.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
wwlp.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
wwnytv.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
my9nj.com,usa,least biased,high,mostly free,tv station,minimal traffic,high credibility
mysuncoast.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
informnny.com,usa,least biased,high,,tv station,mimimal traffic,high credibility
11alive.com,usa,least biased,high,mostly free,website,medium traffic,high credibility
wxii12.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
fox59.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
fox19.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
fox17online.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
wwltv.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
wxow.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
wxyz.com,usa,least biased,high,mostly free,tv station,high traffic,high credibility
wyff4.com,usa,least biased,high,mostly free,tv station,high traffic,high credibility
wymt.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
wytv.com,usa,least biased,high,mostly free,tv station,minimal traffic,high credibility
rocketcitynow.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
wzmq19.com,usa,least biased,high,mostly free,tv station,minimal traffic,high credibility
wzzm13.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
yle.fi,finland,least biased,mixed,excellent,tv station/radio/website,high traffic,high credibility
yorknewstimes.com,usa,least biased,high,mostly free,newspaper,minimal traffic,high credibility
yorkshirepost.co.uk,united kingdom,least biased,high,,newspaper,medium traffic,high credibility
yougov.com,usa,least biased,high,,organization/foundation,medium traffic,high credibility
zdnet.com,usa,least biased,high,,website,high traffic,high credibility
350.org,usa,left,high,,organization/foundation,medium traffic,high credibility
350africa.org,usa,left,high,,organization/foundation,minimal traffic,high credibility
350.org.nz,usa,left,high,,organization/foundation,minimal traffic,high credibility
350asia.org,usa,left,high,,organization/foundation,minimal traffic,high credibility
350.org.au,usa,left,high,,organization/foundation,minimal traffic,high credibility
350.org,usa,left,high,,organization/foundation,minimal traffic,high credibility
350turkiye.org,usa,left,high,,organization/foundation,minimal traffic,high credibility
accountable.us,usa,left,mixed,,organization/foundation,minimal traffic,medium credibility
actblue.com,usa,left,mixed,,organization/foundation,high traffic,medium credibility
act.tv,usa,left,mixed,,website,minimal traffic,medium credibility
actionnetwork.org,usa,left,mixed,,organization/foundation,high traffic,high credibility
aftonbladet.se,sweden,left,mixed,,newspaper,high traffic,medium credibility
alabamareflector.com,usa,left,high,,organization/foundation,minimal traffic,high credibility
alaskabeacon.com,usa,left,high,mostly free,organization/foundation,minimal traffic,high credibility
aldianews.com,usa,left,mixed,,website,medium traffic,medium credibility
afj.org,usa,left,high,mostly free,organization/foundation,minimal traffic,high credibility
altnews.in,india,left,high,,website,medium traffic,high credibility
alternet.org,usa,left,high,,website,medium traffic,high credibility
aidc.org.za,south africa,left,high,,magazine,minimal traffic,high credibility
americanbridgepac.org,usa,left,mixed,,organization/foundation,minimal traffic,medium credibility
americandemocracyscorecard.org,usa,left,mixed,mostly free,organization/foundation,minimal traffic,medium credibility
americanoversight.org,usa,left,mixed,,organization/foundation,minimal traffic,medium credibility
au.org,usa,left,high,,organization/foundation,minimal traffic,high credibility
angrywhitemen.org,usa,left,mixed,,website,minimal traffic,medium credibility
anthropocenealliance.org,usa,left,high,,organization/foundation,minimal traffic,high credibility
anthropocenemagazine.org,usa,left,high,,magazine,minimal traffic,high credibility
azmirror.com,usa,left,high,,organization/foundation,medium traffic,high credibility
arkansasadvocate.com,usa,left,high,mostly free,organization/foundation,minimal traffic,high credibility
attackthesystem.com,usa,left,mixed,mostly free,website,minimal traffic,medium credibility
atadvocacy.com,usa,left,mixed,,organization/foundation,minimal,medium credibility
autostraddle.com,usa,left,mixed,mostly free,magazine,medium traffic,medium credibility
baltimoresun.com,usa,left,mixed,,website,medium traffic,high credibility
ebar.com,usa,left,high,,newspaper,minimal traffic,high credibility
beingliberal.org,usa,left,mixed,,website,minimal traffic,medium credibility
berkeleyside.org,usa,left,high,,organization/foundation,medium traffic,high credibility
billmoyers.com,usa,left,mixed,,website,minimal traffic,medium credibility
blackagendareport.com,usa,left,mixed,,website,minimal traffic,medium credibility
blackamericaweb.com,usa,left,mixed,mostly free,website,mediumtraffic,medium credibility
blacklivesmatter.com,usa,left,mixed,,organization/foundation,medium traffic,medium credibility
blackmainstreet.net,usa,left,mixed,mostly free,website,minimal traffic,medium credibility
theblackwallsttimes.com,usa,left,mixed,,website,minimal traffic,high credibility
boingboing.net,usa,left,mixed,,website,high traffic,medium credibility
bolde.com,usa,left,mixed,,website,medium traffic,medium credibility
bostonreview.net,usa,left,high,,magazine,medium traffic,high credibility
breakthroughnews.org,usa,left,mixed,,website,medium traffic,medium credibility
briarpatchmagazine.com,canada,left,high,,magazine,minimal traffic,high credibility
brit.co,usa,left,mixed,,website,medium traffic,medium credibility
brut.media,france,left,mixed,mostly free,website,medium traffic,medium credibility
btselem.org,israel,left,mixed,,organization/foundation,minimal traffic,medium credibility
buckscountybeacon.com,usa,left,mixed,,website,minimal traffic,medium credibility
bust.com,usa,left,mixed,,magazine,medium traffic,medium credibility
calltoactivism.com,usa,left,mixed,mostly free,website,high traffic (social media),medium credibility
canadafactcheck.ca,canada,left,mixed,,website,medium traffic,medium credibility
antihate.ca,canada,left,high,,organization/foundation,minimal traffic,high credibility
canadiandimension.com,canada,left,mixed,,magazine,minimal traffic,medium credibility
capitalandmain.com,usa,left,high,,website,minimal traffic,high credibility
capitolnewsillinois.com,usa,left,high,,organization/foundation,minimal traffic,high credibility
care2.com,usa,left,mixed,,website,medium traffic,medium credibility
ceasefiremagazine.co.uk,united kingdom,left,high,,magazine,minimal traffic,high credibility
americanprogress.org,usa,left (-6.7),mixed (4.8),,organization/foundation,medium traffic,medium credibility
biologicaldiversity.org,usa,left,high,mostly free,organization/foundation,medium traffic,high credibility
prwatch.org,usa,left,high,,organization/foundation,minimal traffic,high credibility
c4ss.org,usa,left,mixed,,organization/foundation,minimal traffic,medium credibility
change.org,usa,left,mixed,,organization/foundation,high traffic,medium credibility
changeresearch.com,usa,left,mixed,,organization/foundation,minimal traffic,medium credibility
chicagoreader.com,usa,left,high,,newspaper,medium traffic,high credibility
chicagoreporter.com,usa,left,high,,magazine,minimal traffic,high credibility
china.org.cn,china,left-center,mixed,,website,medium traffic,medium credibility
citybeat.com,usa,left,high,mostly free,newspaper,medium traffic,high credibility
citizendata.com,usa,left,mixed,,organization/foundation,minimal traffic,medium credibility
civiqs.com,usa,left,high,,organization/foundation,minimal traffic,high credibility
clevescene.com,usa,left,high,mostly free,newspaper,medium traffic,high credibility
climasolutions.org,usa,left,mixed,,organization/foundation,minimal traffic,medium credibility
climatechangenews.com,united kingdom,left,high,mostly free,website,medium traffic,high credibility
climatejusticealliance.org,usa,left,high,,organization/foundation,minimal traffic,high credibility
codastory.com,usa,left,high,,organization/foundation,medium traffic,high credibility
codepink.org,usa,left,mixed,,organization/foundation,minimal traffic,medium credibility
coloradonewsline.com,usa,left,high,mostly free,organization/foundation,minimal traffic,high credibility
coloradotimesrecorder.com,usa,left,high,mostly free,website,minimal traffic,high credibility
colorlines.com,usa,left,high,mostly free,website,medium,high credibility
colorofchange.org,usa,left,mixed,,organization/foundation,minimal traffic,medium credibility
columbusfreepress.com,usa,left,mixed,,newspaper,minimal traffic,medium credibility
comicsands.com,usa,left,mixed,,website,medium traffic,medium credibility
commondreams.org,usa,left,high,,website,medium traffic,high credibility
communemag.com,usa,left,mixed,mostly free,magazine,minimal traffic,medium credibility
cpusa.org,usa,far left,mixed,,website,minimal traffic,medium credibility
commonwealthbeacon.org,usa,left,high,,organization/foundation,minimal traffic,high credibility
consortiumnews.com,usa,left,mixed,,website,medium traffic,medium credibility
copblock.org,usa,left,mixed,,website,minimal traffic,medium credibility
cosmopolitan.com,usa,left,mixed,,magazine,high traffic,medium credibility
countercurrents.org,india,left,mixed,,website,medium traffic,high credibility
counterfire.org,united kingdom,far left,mixed,,newspaper,minimal traffic,medium credibility
counterpunch.org,usa,left,mixed,,magazine,medium traffic,high credibility
countervortex.org,usa,far left,mixed,,website,minimal traffic,medium credibility
crikey.com.au,australia,left,high,mostly free,website,medium traffic,high credibility
crimethinc.com,usa,left,high,,organization/foundation,medium traffic,high credibility
crooked.com,usa,left,mixed,,website,medium traffic,medium credibility
crooksandliars.com,usa,left,mixed,,website,minimal traffic,high credibility
currentaffairs.org,usa,left,high,,magazine,medium traffic,high credibility
curvemag.com,usa,left,high,,magazine,medium traffic,high credibility
etc.se,sweden,left,mixed,,newspaper,medium traffic,high credibility
thedailybeast.com,usa,left,mixed,,website,high traffic,medium credibility
dailydot.com,usa,left,high,,website,high traffic,high credibility
dailykos.com,usa,left,mixed,,website,high traffic,medium credibility
dailymontanan.com,usa,left,high,mostly free,organization/foundation,minimal traffic,high credibility
dailynewsbin.com,,,mixed,,,,
dailyrecord.co.uk,united kingdom,left,mixed,,newspaper,high traffic,high credibility
dailysoundandfury.com,usa,left,mixed,,website,minimal traffic,medium credibility
dallasvoice.com,usa,left,high,,newspaper,minimal traffic,high credibility
damemagazine.com,usa,left,high,,magazine,minimal,high credibility
davidpakman.com,usa,left,mixed,mostly free,website/video,medium traffic,high credibility
deadspin.com,usa,left,high,,website,medium traffic,high credibility
defenddemocracy.press,greece,left,mixed,,website,minimal traffic,medium credibility
democracychronicles.org,usa,left,mixed,mostly free,organization/foundation,minimal traffic,medium credibility
democracydocket.com,usa,left,high,,organization/foundation,medium,high credibility
democracyguardian.com,usa,left,mixed,,website,minimal traffic,medium credibility
democracyjournal.org,usa,left,high,mostly free,journal,minimal traffic,high credibility
democracynow.org,usa,left biased,high,,"tv station, radio",medium traffic,high credibility
dsausa.org,usa,left,mixed,,organization/foundation,medium traffic,medium credibility
democraticunderground.com,usa,left,mixed,,website,high traffic,medium credibility
deshabhimani.com,india,left,mixed,,newspaper,medium traffic,medium credibility
desmog.com,canada,left,high,,organization/foundation,minimal traffic,high credibility
metrotimes.com,usa,left,high,,newspaper,medium traffic,high credibility
taz.de,germany,left,mixed,,newspaper,high traffic,high credibility
dissentmagazine.org,usa,left,high,,website,minimal traffic,high credibility
doubledown.news,united kingdom,left,mixed,,website,minimal traffic,medium credibility
dream4america.org,usa,left,mixed,,organization/foundation,minimal traffic,medium credibility
drudge.com,usa,left,mixed,,website,minimal traffic,medium credibility
earthfirstjournal.news,usa,left,mixed,,website,minimal traffic,medium credibility
ecowatch.com,usa,left,mixed,,website,medium traffic,medium credibility
egbertowillies.com,usa,left,high,,website,minimal traffic,high credibility
electoral-vote.com,netherlands,left,high,,website,minimal traffic,high credibility
electronicintifada.net,usa,left,mixed,,website,medium traffic,medium credibility
elitedaily.com,usa,left,mixed,,website,high traffic,medium credibility
elle.com,usa,,mixed,usa 45/180,,,
erininthemorning.com,usa,left,mixed,,website,medium traffic,medium credibility
esquire.com,usa,left,mixed,,magazine,high traffic,medium credibility
euromedmonitor.org,switzerland,left,mixed,,organization/foundation,medium traffic,medium credibility
everydayfeminism.com,usa,left,mixed,,website,minimal traffic,medium credibility
evonomics.com,usa,left,high,,website,minimal traffic,high credibility
exposedbycmd.org,usa,left,high,,organization/foundation,minimal traffic,high credibility
fairplanet.org,germany,left,mixed,,organization/foundation,minimal traffic,medium credibility
feministcurrent.com,canada,left,mixed,,website,minimal traffic,medium credibility
fifthestate.org,usa,left,high,,magazine,minimal traffic,high credibility
finnishnews.fi,finland,left,mixed,,website,minimal traffic,high credibility
floridaphoenix.com,usa,left,high,mostly free,organization/foundation,minimal traffic,high credibility
foodandwaterwatch.org,usa,left,mixed,,organization/foundation,minimal traffic,medium credibility
foreignpolicyjournal.com,usa,,mixed,usa 48/180,,,
foreignpolicynews.org,usa,left,mixed,mostly free,website,minimal traffic,medium credibility
freepress.org,usa,far left,mixed,,organization/foundation,minimal traffic,medium credibility
ffrf.org,usa,left,mixed,,organization/foundation,minimal traffic,medium credibility
freedomnews.org.uk,united kingdom,left,high,,website,minimal traffic,high credibility
frontpageslive.com,usa,left,mixed,,website,minimal traffic,medium credibility
freespeech.org,usa,left,mixed,,organization/foundation,minimal traffic,medium credibility
futureforwardusa.org,usa,left,mixed,mostly free,organization/foundation,minimal traffic,medium credibility
gawker.com,usa,left,mixed,mostly free,website,medium traffic,medium credibility
gaycitynews.com,usa,left,high,mostly free,newspaper,minimal traffic,high credibility
gaystarnews.com,united kingdom,left,mixed,,website,medium traffic,medium credibility
gaytimes.co.uk,united kingdom,left,high,mostly free,magazine,medium traffic,high credibility
geopoliticsalert.com,usa,left,mixed,mostly free,website,minimal traffic,medium credibility
georgiarecorder.com,usa,left,high,mostly free,organization/foundation,minimal traffic,high credibility
giffords.org,usa,left,mixed,mostly free,organization/foundation,medium traffic,high credibility
ggenyc.org,usa,left,high,,organization/foundation,minimal traffic,high credibility
gizmodo.com,usa,left,high,mostly free,website,high traffic,high credibility
glaad.org,usa,left,high,mostly free,organization/foundation,medium traffic,high credibility
globalvoices.org,usa,left,high,,organization,medium traffic,high credibility
good.is,usa,left,high,,website,minimal traffic,high credibility
gq.com,usa,left,high,,magazine,high traffic,high credibility
bradford-delong.com,usa,left,high,,website,minimal traffic,high credibility
greenleft.org.au,australia,left,high,,website,minimal traffic,medium credibility
greenlining.org,usa,left,mixed,,organization/foundation,minimal traffic,medium credibility
guardianlv.com,usa,left,mixed,mostly free,website,minimal traffic,high credibility
haaretz.com,israel,left,high,,newspaper,high traffic,high credibility
harpersbazaar.com,usa,left,mixed,mostly free,magazine,high traffic,high credibility
harvard.edu,usa,left,high,,magazine,medium traffic,high credibility
hightimes.com,usa,left,mixed,mostly free,magazine,medium traffic,medium credibility
hillreporter.com,usa,left,high,mostly free,website,medium traffic,high credibility
hopenothate.org.uk,united kingdom,left,high,,organization/foundation,minimal traffic,high credibility
huffpost.com,usa,left,mixed,,website,high traffic,medium credibility
hrc.org,usa,left,high,mostly free,organization/foundation,medium traffic,high credibility
idahocapitalsun.com,usa,left,high,mostly free,organization/foundation,minimal traffic,high credibility
marxist.com,united kingdom,far-left,mixed,mostly free,organization/foundation,medium traffic,medium credibility
inthesetimes.com,usa,left,mixed,mostly free,organization/foundation,medium traffic,medium credibility
alligator.org,usa,left,high,mostly free,newspaper,minimal traffic,high credibility
indivisible.org,usa,left,mixed,,organization/foundation,minimal traffic,medium credibility
indyweek.com,usa,left,mixed,,newspaper,medium traffic,high credibility
inequalitymedia.org,usa,left,high,mostly free,organization/foundation,minimal traffic,high credibility
juancole.com,usa,left,mixed,mostly free,website,minimal traffic,medium credibility
inkstickmedia.com,usa,left,mixed,,organization/foundation,minimal traffic,high credibility
ineteconomics.org,usa,left,high,,organization/foundation,minimal traffic,high credibility
ips-dc.org,usa,left,mixed,mostly free,organization/foundation,minimal traffic,medium credibility
intpolicydigest.org,usa,left,high,mostly free,website,minimal traffic,high credibility
isj.org.uk,united kingdom,far-left,mixed,,organization/foundation,minimal traffic,medium credibility
internationalviewpoint.org,united kingdom,far left,mixed,mostly free,magazine,minimal traffic,low credibility
intrepidreport.com,usa,left,mixed,mostly free,website,minimal traffic,medium credibility
iowacapitaldispatch.com,usa,left,mixed,mostly free,organization/foundation,minimal traffic,medium credibility
iowastartingline.com,usa,left,high,mostly free,website,minimal traffic,high credibility
itsgoingdown.org,usa,left,mixed,mostly free,website,minimal traffic,medium credibility
jacobin.com,usa,left,high,,magazine,medium traffic,high credibility
jewishcurrents.org,united states,left,mixed,mostly free,website,medium traffic,high credibility
jewishvoiceforpeace.org,united states,left,mixed,,organization/foundation,medium traffic,high credibility
jezebel.com,usa,left,mixed,,website,high traffic,high credibility
joebiden.com,usa (44/180 press freedom),left,mixed,,website,medium traffic,high credibility
jungewelt.de,germany,left,mixed,,newspaper,medium traffic,medium credibility
junkee.com,australia,left,mixed,mostly free,website,medium traffic,high credibility
kansasreflector.com,usa,left,high,mostly free,organization/foundation,minimal traffic,high credibility
kentuckylantern.com,usa,left,high,,organization/foundation,minimal traffic,high credibility
knock-la.com,usa,left,mixed,mostly free,organization/foundation,minimal traffic,medium credibility
lavendermagazine.com,usa,left,high,mostly free,website,minimal traffic,high credibility
laweekly.com,usa,left,mixed,,newspaper,medium traffic,medium credibility
lcv.org,usa,left,mixed,,organization/foundation,minimal traffic,medium credibility
leftfootforward.org,united kingdom,left-center,mixed,mostly free,website,minimal traffic,medium credibility
leftvoice.org,usa,left,mixed,mostly free,website,minimal traffic,medium credibility
legalreader.com,usa,left,mixed,,website,minimal traffic,medium credibility
leicester.news,united kingdom,left,mixed,,newspaper,minimal traffic,high credibility
lemediatv.fr,france,left,mixed,,website,medium traffic,high credibility
monde-diplomatique.fr,france,left,high,mostly free,newspaper,medium traffic,high credibility
leoweekly.com,usa,left,high,mostly free,newspaper,minimal traffic,high credibility
lgbtqnation.com,usa,left,mixed,mostly free,website,medium traffic,medium credibility
libcom.org,usa,far left,mixed,mostly free,website,medium traffic,medium credibility
